tickers
APT
APUS
AREN
ARMN
ARMP
ASM
ATCH
ATNM
AUST
AWX
AXIL
AZTR
BATL
BCV
BCVPRA
BDL
BGI
BHB
BHM
BKTI
BMNR
BQ
BRBS
BRIA
BRN
BTG
BURU
CANF
CATX
CCEL
CET
CEV
CHEB
CIK
CIX
CKX
CLDI
CLM
CMCL
CMT
CNL
COE
COHN
CPHI
CRF
CTGO
CTM
CVM
CVR
CVU
CYBN
DC
DDC
DHY
DIT
DMYY
DNN
DSS
DVS
DXF
EAD
ECF
ECFPRA
EFSH
EGG
EIM
ELA
ELLO
ELMD
EMX
ENX
EONR
EP
EPM
EQX
ERC
ERH
ESP
EVI
EVM
EVV
EXOD
FAX
FCO
FLYX
FLYY
FOXO
FSI
FSP
FTF
FURY
GAU
GBR
GENC
GGN
GGNPRB
GLDG
GLO
GLQ
GLU
